OID_,GRID_ID,ORIG_FID
0,B-14,152
1,C-14,153
2,D-14,154
3,E-14,155
4,F-14,156
5,G-14,157
6,H-14,158
7,I-14,159
8,J-14,160
9,K-14,161
10,L-14,162
11,B-13,167
12,C-13,168
13,D-13,169
14,E-13,170
15,F-13,171
16,G-13,172
17,H-13,173
18,I-13,174
19,J-13,175
20,K-13,176
21,L-13,177
22,M-13,178
23,B-12,182
24,C-12,183
25,D-12,184
26,E-12,185
27,F-12,186
28,G-12,187
29,H-12,188
30,I-12,189
31,J-12,190
32,K-12,191
33,L-12,192
34,M-12,193
35,B-11,197
36,C-11,198
37,D-11,199
38,E-11,200
39,F-11,201
40,G-11,202
41,H-11,203
42,I-11,204
43,J-11,205
44,K-11,206
45,L-11,207
46,M-11,208
47,N-11,209
48,B-10,212
49,C-10,213
50,D-10,214
51,E-10,215
52,F-10,216
53,G-10,217
54,H-10,218
55,I-10,219
56,J-10,220
57,K-10,221
58,L-10,222
59,M-10,223
60,B-9,227
61,C-9,228
62,D-9,229
63,E-9,230
64,F-9,231
65,G-9,232
66,H-9,233
67,I-9,234
68,J-9,235
69,K-9,236
70,L-9,237
71,M-9,238
72,B-8,242
73,C-8,243
74,D-8,244
75,E-8,245
76,F-8,246
77,G-8,247
78,H-8,248
79,I-8,249
80,J-8,250
81,K-8,251
82,L-8,252
83,B-7,257
84,C-7,258
85,D-7,259
86,E-7,260
87,F-7,261
88,G-7,262
89,H-7,263
90,I-7,264
91,B-6,272
92,C-6,273
93,D-6,274
94,E-6,275
95,F-6,276
96,G-6,277
97,C-5,288
98,D-5,289
99,E-5,290
100,F-5,291
101,G-5,292
102,D-4,304
103,E-4,305
104,F-4,306
105,E-3,320
106,F-3,321
107,F-2,336
